origin_full,destination_full,miles,rate,rpm,deadhead_origin,deadhead_destination,weight,truck_type,pickup_date,delivery_date,broker_name,broker_contact
"Greensboro, NC","Buffalo, NY",1865,5352,2.87,84,153,34694,Step Deck,2026-06-08,2026-06-10,Landstar,800-872-9400
"Fort Lauderdale, FL","Oklahoma City, OK",203,678,3.34,34,7,32363,Step Deck,2026-05-20,2026-05-21,Coyote Logistics,877-626-9683
"Tacoma, WA","Los Angeles, CA",841,2665,3.17,160,12,17625,Step Deck,2026-05-25,2026-05-26,Coyote Logistics,877-626-9683
"Savannah, GA","Buffalo, NY",1973,6826,3.46,38,76,45375,Step Deck,2026-06-13,2026-06-15,TQL,800-580-3101
"Fargo, ND","Jacksonville, FL",2417,4592,1.9,53,34,37877,Reefer,2026-05-20,2026-05-22,Schneider,800-558-6767
"Philadelphia, PA","Fargo, ND",1401,3208,2.29,75,136,15255,Reefer,2026-06-01,2026-06-02,Coyote Logistics,877-626-9683
"Arlington, TX","Cleveland, OH",916,2115,2.31,105,67,20094,Step Deck,2026-06-11,2026-06-12,TQL,800-580-3101
"Springfield, IL","Kansas City, MO",785,1648,2.1,133,100,11403,Step Deck,2026-06-03,2026-06-05,TQL,800-580-3101
"Boise, ID","Amarillo, TX",2195,7550,3.44,131,6,14111,Step Deck,2026-06-07,2026-06-11,XPO Logistics,800-755-2728
"Boise, ID","Plano, TX",1276,4568,3.58,166,38,17086,Dry Van,2026-05-25,2026-05-27,Uber Freight,844-822-8237
"Rochester, NY","Birmingham, AL",392,650,1.66,63,115,25607,Flatbed,2026-06-03,2026-06-08,TQL,800-580-3101
"Grand Rapids, MI","Oklahoma City, OK",474,1227,2.59,154,57,20967,Step Deck,2026-05-31,2026-06-04,Echo Global Logistics,800-354-7993
"Las Vegas, NV","Fort Wayne, IN",361,725,2.01,66,31,21862,Dry Van,2026-06-11,2026-06-12,Schneider,800-558-6767
"Lubbock, TX","Irving, TX",453,1259,2.78,85,138,19043,Reefer,2026-06-19,2026-06-19,TQL,800-580-3101
"Raleigh, NC","Amarillo, TX",2057,4669,2.27,172,71,44599,Dry Van,2026-06-09,2026-06-10,Uber Freight,844-822-8237
"Fort Lauderdale, FL","Salt Lake City, UT",719,2013,2.8,207,150,36874,Flatbed,2026-05-22,2026-05-25,JB Hunt,800-452-4868
"Grand Rapids, MI","San Jose, CA",1201,2233,1.86,13,132,28929,Flatbed,2026-05-29,2026-06-03,JB Hunt,800-452-4868
"Orlando, FL","Springfield, IL",1243,3393,2.73,73,89,18125,Reefer,2026-06-18,2026-06-19,Uber Freight,844-822-8237
"Cincinnati, OH","Columbus, OH",887,1756,1.98,157,124,37071,Reefer,2026-06-05,2026-06-10,Schneider,800-558-6767
"Amarillo, TX","Memphis, TN",2364,4137,1.75,96,61,23290,Flatbed,2026-06-07,2026-06-08,Uber Freight,844-822-8237
"Dallas, TX","Houston, TX",359,639,1.78,40,3,20232,Dry Van,2026-06-06,2026-06-10,JB Hunt,800-452-4868
"Knoxville, TN","New York, NY",2211,5461,2.47,126,154,12098,Step Deck,2026-06-03,2026-06-06,Schneider,800-558-6767
"Raleigh, NC","Sacramento, CA",2525,8888,3.52,113,24,9294,Step Deck,2026-06-14,2026-06-16,Uber Freight,844-822-8237
"Fresno, CA","Orlando, FL",252,491,1.95,198,43,15459,Flatbed,2026-06-01,2026-06-04,TQL,800-580-3101
"Orlando, FL","Pittsburgh, PA",1435,3171,2.21,216,13,40438,Flatbed,2026-06-08,2026-06-10,C.H. Robinson,800-323-7587
"Jacksonville, FL","Raleigh, NC",2005,3929,1.96,164,107,15601,Reefer,2026-06-19,2026-06-19,XPO Logistics,800-755-2728
"New York, NY","Plano, TX",640,1753,2.74,27,76,34451,Dry Van,2026-06-11,2026-06-16,Landstar,800-872-9400
"Fort Wayne, IN","Indianapolis, IN",512,1638,3.2,92,90,19007,Flatbed,2026-06-15,2026-06-19,C.H. Robinson,800-323-7587
"Rockford, IL","Fargo, ND",2211,7097,3.21,27,38,39187,Step Deck,2026-06-04,2026-06-09,Coyote Logistics,877-626-9683
"Rochester, NY","New York, NY",605,1905,3.15,36,48,22036,Flatbed,2026-05-27,2026-05-28,C.H. Robinson,800-323-7587
"Charlotte, NC","Fresno, CA",2239,6493,2.9,164,105,28539,Dry Van,2026-05-30,2026-06-04,Uber Freight,844-822-8237
"Greensboro, NC","Arlington, TX",895,3141,3.51,171,114,11744,Reefer,2026-05-20,2026-05-21,Uber Freight,844-822-8237
"Indianapolis, IN","Plano, TX",697,2007,2.88,54,170,27081,Reefer,2026-06-04,2026-06-08,Echo Global Logistics,800-354-7993
"Fort Wayne, IN","Columbus, OH",2404,6082,2.53,99,20,19018,Flatbed,2026-06-05,2026-06-10,Landstar,800-872-9400
"Spokane, WA","Philadelphia, PA",2537,8422,3.32,190,23,10804,Dry Van,2026-06-10,2026-06-12,XPO Logistics,800-755-2728
"Austin, TX","Chicago, IL",1669,4172,2.5,92,144,29415,Flatbed,2026-05-28,2026-06-01,Landstar,800-872-9400
"Kansas City, MO","Fresno, CA",2511,9064,3.61,85,145,21091,Dry Van,2026-06-18,2026-06-19,Landstar,800-872-9400
"Salt Lake City, UT","Cincinnati, OH",1188,2269,1.91,77,161,31689,Step Deck,2026-05-30,2026-05-31,Landstar,800-872-9400
"Buffalo, NY","Tacoma, WA",2345,7480,3.19,59,93,13448,Reefer,2026-06-16,2026-06-19,Uber Freight,844-822-8237
"Springfield, IL","Fargo, ND",837,2879,3.44,120,73,15036,Dry Van,2026-06-16,2026-06-19,TQL,800-580-3101
"Los Angeles, CA","New York, NY",2086,4005,1.92,178,104,44878,Flatbed,2026-05-31,2026-06-05,Coyote Logistics,877-626-9683
"Knoxville, TN","Plano, TX",518,1693,3.27,109,137,32648,Flatbed,2026-06-17,2026-06-18,TQL,800-580-3101
"Tucson, AZ","Chicago, IL",1942,6661,3.43,163,136,12952,Step Deck,2026-05-30,2026-06-02,Schneider,800-558-6767
"Fargo, ND","Rochester, NY",2286,4320,1.89,143,29,38571,Step Deck,2026-06-14,2026-06-19,Landstar,800-872-9400
"Austin, TX","Nashville, TN",1802,5099,2.83,217,134,19180,Reefer,2026-05-25,2026-05-28,Schneider,800-558-6767
"Dallas, TX","Cincinnati, OH",619,1126,1.82,70,5,33491,Flatbed,2026-06-15,2026-06-19,RXO,800-866-0190
"Reno, NV","Oklahoma City, OK",1261,3757,2.98,10,141,30212,Step Deck,2026-05-22,2026-05-24,Coyote Logistics,877-626-9683
"Tacoma, WA","Salt Lake City, UT",1704,4055,2.38,192,34,30588,Flatbed,2026-05-29,2026-06-03,Uber Freight,844-822-8237
"St Louis, MO","Birmingham, AL",2415,6279,2.6,155,153,20133,Reefer,2026-05-19,2026-05-22,Echo Global Logistics,800-354-7993
"Charlotte, NC","Columbus, OH",2567,8368,3.26,133,94,28582,Dry Van,2026-05-29,2026-06-01,C.H. Robinson,800-323-7587
"San Diego, CA","Indianapolis, IN",2050,6990,3.41,53,142,13029,Step Deck,2026-05-29,2026-05-31,JB Hunt,800-452-4868
"Kansas City, MO","San Diego, CA",2152,6305,2.93,189,14,22445,Dry Van,2026-06-06,2026-06-07,Coyote Logistics,877-626-9683
"Fort Lauderdale, FL","Kansas City, MO",1082,1839,1.7,91,113,39357,Dry Van,2026-06-19,2026-06-19,C.H. Robinson,800-323-7587
"Detroit, MI","San Jose, CA",877,2473,2.82,37,70,21659,Reefer,2026-06-16,2026-06-19,C.H. Robinson,800-323-7587
"Houston, TX","Spokane, WA",621,2185,3.52,197,84,29983,Flatbed,2026-05-31,2026-06-01,JB Hunt,800-452-4868
"Austin, TX","Grand Rapids, MI",855,1402,1.64,96,52,12857,Dry Van,2026-05-28,2026-05-29,JB Hunt,800-452-4868
"Rochester, NY","Fort Worth, TX",1840,4747,2.58,19,48,20536,Step Deck,2026-05-28,2026-05-30,TQL,800-580-3101
"Orlando, FL","Dallas, TX",2476,4283,1.73,118,35,38558,Step Deck,2026-06-06,2026-06-07,JB Hunt,800-452-4868
"Jacksonville, FL","Irving, TX",241,508,2.11,34,148,21478,Flatbed,2026-06-02,2026-06-05,RXO,800-866-0190
"Nashville, TN","Knoxville, TN",2337,6169,2.64,136,45,19606,Reefer,2026-06-08,2026-06-12,C.H. Robinson,800-323-7587
"Tulsa, OK","Columbus, OH",2246,7928,3.53,149,143,20008,Step Deck,2026-06-18,2026-06-19,JB Hunt,800-452-4868
"Reno, NV","San Jose, CA",1542,3669,2.38,147,137,25871,Step Deck,2026-05-22,2026-05-24,JB Hunt,800-452-4868
"Plano, TX","San Antonio, TX",788,2931,3.72,45,101,26600,Reefer,2026-05-19,2026-05-20,C.H. Robinson,800-323-7587
"Atlanta, GA","Charlotte, NC",1423,3543,2.49,97,93,45326,Dry Van,2026-06-16,2026-06-19,XPO Logistics,800-755-2728
"Los Angeles, CA","Oklahoma City, OK",1739,4417,2.54,212,72,28335,Flatbed,2026-05-25,2026-05-28,Uber Freight,844-822-8237
"Amarillo, TX","San Diego, CA",1696,5936,3.5,65,163,22603,Step Deck,2026-05-30,2026-06-03,TQL,800-580-3101
"Spokane, WA","St Louis, MO",422,708,1.68,37,67,16906,Flatbed,2026-05-27,2026-05-31,JB Hunt,800-452-4868
"Pittsburgh, PA","Fresno, CA",941,1524,1.62,4,39,36095,Step Deck,2026-05-28,2026-06-01,C.H. Robinson,800-323-7587
"Nashville, TN","Kansas City, MO",1299,4312,3.32,132,33,18280,Step Deck,2026-06-12,2026-06-16,XPO Logistics,800-755-2728
"Savannah, GA","Oklahoma City, OK",750,2325,3.1,99,108,41401,Flatbed,2026-06-15,2026-06-19,Schneider,800-558-6767
"Tulsa, OK","Chicago, IL",1591,5202,3.27,150,104,37163,Reefer,2026-06-06,2026-06-09,Echo Global Logistics,800-354-7993
"Fort Worth, TX","Seattle, WA",2408,5634,2.34,219,163,37378,Flatbed,2026-05-26,2026-05-31,Echo Global Logistics,800-354-7993
"Reno, NV","Arlington, TX",2271,4769,2.1,199,41,45295,Step Deck,2026-06-01,2026-06-06,TQL,800-580-3101
"San Antonio, TX","St Louis, MO",1031,2886,2.8,190,164,33888,Dry Van,2026-05-23,2026-05-24,JB Hunt,800-452-4868
"Chicago, IL","Austin, TX",934,3222,3.45,156,128,25669,Flatbed,2026-05-20,2026-05-21,TQL,800-580-3101
"San Jose, CA","Little Rock, AR",1129,2427,2.15,61,65,33047,Reefer,2026-05-24,2026-05-27,RXO,800-866-0190
"New York, NY","Tucson, AZ",1098,3392,3.09,117,82,40895,Step Deck,2026-05-19,2026-05-23,Echo Global Logistics,800-354-7993
"Miami, FL","Pittsburgh, PA",2121,5705,2.69,96,142,21880,Dry Van,2026-05-21,2026-05-22,Echo Global Logistics,800-354-7993
"Jacksonville, FL","Chicago, IL",2349,3993,1.7,109,14,28648,Step Deck,2026-05-24,2026-05-27,XPO Logistics,800-755-2728
"Raleigh, NC","Greensboro, NC",385,1228,3.19,114,31,43804,Reefer,2026-06-09,2026-06-12,C.H. Robinson,800-323-7587
"Fort Wayne, IN","Atlanta, GA",2330,4403,1.89,1,93,11759,Reefer,2026-05-22,2026-05-27,Echo Global Logistics,800-354-7993
"New Orleans, LA","Little Rock, AR",2017,3610,1.79,98,143,30984,Flatbed,2026-06-04,2026-06-07,Uber Freight,844-822-8237
"New Orleans, LA","Birmingham, AL",649,2394,3.69,72,17,9533,Step Deck,2026-05-29,2026-06-01,Landstar,800-872-9400
"Buffalo, NY","Little Rock, AR",1028,2744,2.67,2,30,44810,Flatbed,2026-05-22,2026-05-25,Schneider,800-558-6767
"Jacksonville, FL","Arlington, TX",1013,2289,2.26,75,87,33393,Dry Van,2026-05-31,2026-06-03,Echo Global Logistics,800-354-7993
"Rockford, IL","Los Angeles, CA",776,2234,2.88,114,18,27801,Flatbed,2026-06-11,2026-06-15,C.H. Robinson,800-323-7587
"Jacksonville, FL","San Jose, CA",282,482,1.71,198,70,37750,Flatbed,2026-05-26,2026-05-28,JB Hunt,800-452-4868
"Raleigh, NC","Lubbock, TX",310,1081,3.49,131,85,39870,Step Deck,2026-05-21,2026-05-22,Echo Global Logistics,800-354-7993
"Fort Lauderdale, FL","Savannah, GA",1478,2867,1.94,141,150,21222,Flatbed,2026-05-26,2026-05-28,Echo Global Logistics,800-354-7993
"Amarillo, TX","Fort Worth, TX",723,1207,1.67,172,23,11187,Flatbed,2026-05-24,2026-05-27,C.H. Robinson,800-323-7587
"Dallas, TX","Grand Rapids, MI",2436,8550,3.51,129,65,25172,Flatbed,2026-05-31,2026-06-04,RXO,800-866-0190
"Lubbock, TX","Kansas City, MO",2068,4301,2.08,125,58,34268,Step Deck,2026-05-29,2026-05-31,Landstar,800-872-9400
"Indianapolis, IN","Savannah, GA",309,883,2.86,163,101,18042,Flatbed,2026-06-03,2026-06-04,Landstar,800-872-9400
"Austin, TX","Miami, FL",466,1244,2.67,203,158,28105,Step Deck,2026-05-31,2026-06-02,Coyote Logistics,877-626-9683
"Houston, TX","San Antonio, TX",681,2090,3.07,110,86,37645,Reefer,2026-06-01,2026-06-03,Echo Global Logistics,800-354-7993
"Phoenix, AZ","Spokane, WA",544,1768,3.25,117,123,36684,Dry Van,2026-06-01,2026-06-05,TQL,800-580-3101
"Detroit, MI","Chicago, IL",1572,3741,2.38,173,68,35728,Dry Van,2026-06-01,2026-06-04,Uber Freight,844-822-8237
"Cleveland, OH","Amarillo, TX",1035,2256,2.18,97,86,20767,Flatbed,2026-06-12,2026-06-14,RXO,800-866-0190
"Plano, TX","Atlanta, GA",2285,7563,3.31,128,65,23419,Reefer,2026-06-09,2026-06-14,Uber Freight,844-822-8237
"Houston, TX","Lubbock, TX",2174,4717,2.17,41,34,17583,Dry Van,2026-06-19,2026-06-19,Coyote Logistics,877-626-9683
"Fort Worth, TX","Lubbock, TX",384,668,1.74,209,163,10389,Step Deck,2026-06-02,2026-06-03,TQL,800-580-3101
"Reno, NV","Little Rock, AR",740,1753,2.37,170,125,10159,Step Deck,2026-06-08,2026-06-10,XPO Logistics,800-755-2728
"Tampa, FL","Seattle, WA",2587,6829,2.64,32,132,26155,Reefer,2026-06-13,2026-06-18,RXO,800-866-0190
"Greensboro, NC","Miami, FL",2212,6370,2.88,125,19,28293,Reefer,2026-05-19,2026-05-23,TQL,800-580-3101
"Oklahoma City, OK","New Orleans, LA",1173,2744,2.34,50,42,31171,Dry Van,2026-05-21,2026-05-22,Echo Global Logistics,800-354-7993
"Chicago, IL","Salt Lake City, UT",1351,3917,2.9,196,10,30378,Flatbed,2026-05-23,2026-05-28,Landstar,800-872-9400
"Rockford, IL","Fort Wayne, IN",1691,5512,3.26,151,127,36104,Reefer,2026-06-05,2026-06-09,JB Hunt,800-452-4868
"Indianapolis, IN","Memphis, TN",1068,2541,2.38,183,50,17762,Dry Van,2026-06-08,2026-06-09,JB Hunt,800-452-4868
"Plano, TX","Detroit, MI",1351,2404,1.78,104,89,13765,Reefer,2026-06-13,2026-06-17,Schneider,800-558-6767
"Seattle, WA","Fort Worth, TX",1801,5601,3.11,207,50,19689,Flatbed,2026-06-18,2026-06-19,Schneider,800-558-6767
"Pittsburgh, PA","Cincinnati, OH",1897,6658,3.51,60,41,26412,Flatbed,2026-06-13,2026-06-16,Schneider,800-558-6767
"Tacoma, WA","New Orleans, LA",439,1141,2.6,172,149,23967,Flatbed,2026-06-12,2026-06-17,Coyote Logistics,877-626-9683
"Fargo, ND","Detroit, MI",1765,3406,1.93,166,112,26007,Step Deck,2026-05-31,2026-06-03,TQL,800-580-3101
"Los Angeles, CA","Irving, TX",1198,2575,2.15,91,107,47804,Reefer,2026-06-03,2026-06-07,XPO Logistics,800-755-2728
"Greensboro, NC","Cleveland, OH",199,573,2.88,172,154,44451,Flatbed,2026-05-20,2026-05-24,JB Hunt,800-452-4868
"Tulsa, OK","Rochester, NY",1089,1981,1.82,24,155,26117,Reefer,2026-06-08,2026-06-11,RXO,800-866-0190
"New York, NY","San Antonio, TX",2374,7098,2.99,64,165,34573,Dry Van,2026-06-08,2026-06-13,TQL,800-580-3101
"Springfield, IL","Atlanta, GA",1443,5252,3.64,215,102,29395,Flatbed,2026-06-16,2026-06-17,C.H. Robinson,800-323-7587
"Nashville, TN","Rochester, NY",1809,3618,2.0,135,22,43993,Dry Van,2026-06-13,2026-06-17,Coyote Logistics,877-626-9683
"Las Vegas, NV","Tacoma, WA",1410,4385,3.11,130,159,41894,Step Deck,2026-06-12,2026-06-17,Landstar,800-872-9400
"Oklahoma City, OK","Tacoma, WA",2084,6168,2.96,112,59,10898,Reefer,2026-06-05,2026-06-08,TQL,800-580-3101
"Reno, NV","Spokane, WA",2351,8792,3.74,95,134,24431,Step Deck,2026-05-28,2026-05-30,TQL,800-580-3101
"Houston, TX","Birmingham, AL",1960,4919,2.51,52,118,26883,Reefer,2026-06-07,2026-06-10,JB Hunt,800-452-4868
"Seattle, WA","Fort Wayne, IN",1520,2842,1.87,122,159,29844,Reefer,2026-05-29,2026-06-03,Uber Freight,844-822-8237
"Tucson, AZ","Los Angeles, CA",1062,2145,2.02,113,44,27247,Dry Van,2026-05-26,2026-05-28,Schneider,800-558-6767
"Orlando, FL","Atlanta, GA",973,2014,2.07,62,76,10884,Flatbed,2026-05-19,2026-05-23,Coyote Logistics,877-626-9683
"Phoenix, AZ","Detroit, MI",367,1244,3.39,77,91,13078,Step Deck,2026-05-26,2026-05-27,JB Hunt,800-452-4868
"Rockford, IL","Kansas City, MO",2264,5410,2.39,107,65,17276,Flatbed,2026-05-20,2026-05-21,Coyote Logistics,877-626-9683
"Detroit, MI","Rochester, NY",719,2164,3.01,215,74,19285,Reefer,2026-05-23,2026-05-24,JB Hunt,800-452-4868
"Miami, FL","Charlotte, NC",1847,6335,3.43,91,87,17585,Reefer,2026-06-03,2026-06-04,Landstar,800-872-9400
"New York, NY","St Louis, MO",1206,4184,3.47,156,167,24415,Dry Van,2026-06-08,2026-06-12,Uber Freight,844-822-8237
"Tampa, FL","Charlotte, NC",1085,1725,1.59,102,58,11630,Reefer,2026-06-12,2026-06-14,Schneider,800-558-6767
"Boise, ID","Fort Wayne, IN",1729,4339,2.51,16,24,9929,Dry Van,2026-06-10,2026-06-11,Uber Freight,844-822-8237
"Rochester, NY","Austin, TX",2475,6286,2.54,175,77,34318,Step Deck,2026-05-21,2026-05-22,C.H. Robinson,800-323-7587
"Sacramento, CA","San Diego, CA",1523,4736,3.11,8,7,42700,Step Deck,2026-06-07,2026-06-10,Schneider,800-558-6767
"Rochester, NY","Oklahoma City, OK",1586,2838,1.79,7,32,31993,Dry Van,2026-05-20,2026-05-21,Landstar,800-872-9400
"Fort Worth, TX","San Diego, CA",213,687,3.23,121,14,47353,Reefer,2026-05-25,2026-05-29,Coyote Logistics,877-626-9683
"Rochester, NY","Philadelphia, PA",1383,4881,3.53,86,62,23472,Reefer,2026-06-19,2026-06-19,Uber Freight,844-822-8237
"Nashville, TN","Irving, TX",2093,7011,3.35,123,25,29832,Step Deck,2026-05-28,2026-05-29,RXO,800-866-0190
"Knoxville, TN","Houston, TX",1516,4153,2.74,150,168,23028,Reefer,2026-05-20,2026-05-22,TQL,800-580-3101
"Lubbock, TX","Knoxville, TN",328,636,1.94,44,124,42558,Step Deck,2026-06-17,2026-06-19,Echo Global Logistics,800-354-7993
"Tampa, FL","Little Rock, AR",1070,2503,2.34,59,127,15691,Reefer,2026-05-31,2026-06-02,Uber Freight,844-822-8237
"Fort Worth, TX","Sacramento, CA",2026,6381,3.15,126,34,33336,Reefer,2026-06-05,2026-06-08,TQL,800-580-3101
"Miami, FL","Little Rock, AR",919,2802,3.05,49,101,22179,Dry Van,2026-06-08,2026-06-13,Uber Freight,844-822-8237
"Cleveland, OH","Spokane, WA",1912,6558,3.43,141,68,18605,Step Deck,2026-06-04,2026-06-09,Echo Global Logistics,800-354-7993
"Chicago, IL","Dallas, TX",2562,4329,1.69,7,5,43983,Dry Van,2026-06-11,2026-06-14,TQL,800-580-3101
"Fort Worth, TX","Little Rock, AR",1692,3671,2.17,44,24,39861,Flatbed,2026-05-28,2026-06-01,RXO,800-866-0190
"Phoenix, AZ","Spokane, WA",1182,3167,2.68,134,118,25505,Step Deck,2026-06-16,2026-06-17,Echo Global Logistics,800-354-7993
"Indianapolis, IN","Grand Rapids, MI",623,2105,3.38,204,150,38032,Step Deck,2026-06-03,2026-06-04,TQL,800-580-3101
"Fresno, CA","New York, NY",236,384,1.63,164,71,33095,Step Deck,2026-06-05,2026-06-06,Coyote Logistics,877-626-9683
"Birmingham, AL","Oklahoma City, OK",195,323,1.66,20,106,29304,Reefer,2026-06-03,2026-06-04,Echo Global Logistics,800-354-7993
"Philadelphia, PA","Denver, CO",1910,4221,2.21,205,98,12951,Flatbed,2026-05-20,2026-05-24,RXO,800-866-0190
"Rochester, NY","Tulsa, OK",1991,4439,2.23,10,114,11933,Reefer,2026-06-15,2026-06-19,Coyote Logistics,877-626-9683
"Savannah, GA","Rockford, IL",443,1652,3.73,82,170,18863,Step Deck,2026-06-16,2026-06-19,Coyote Logistics,877-626-9683
"Dallas, TX","Tampa, FL",1657,4159,2.51,104,129,46743,Dry Van,2026-05-23,2026-05-24,C.H. Robinson,800-323-7587
"Austin, TX","Jacksonville, FL",218,468,2.15,3,35,12256,Step Deck,2026-06-13,2026-06-15,XPO Logistics,800-755-2728
"Spokane, WA","Austin, TX",2433,7128,2.93,174,33,20141,Flatbed,2026-05-21,2026-05-23,Coyote Logistics,877-626-9683
"Oklahoma City, OK","Amarillo, TX",1658,3929,2.37,58,40,13152,Flatbed,2026-05-27,2026-05-30,XPO Logistics,800-755-2728
"Spokane, WA","Rockford, IL",2255,7960,3.53,188,48,33181,Step Deck,2026-06-14,2026-06-17,XPO Logistics,800-755-2728
"Charlotte, NC","Columbus, OH",1897,6203,3.27,149,141,20321,Flatbed,2026-06-05,2026-06-08,JB Hunt,800-452-4868
"Springfield, IL","Greensboro, NC",303,478,1.58,180,112,16048,Step Deck,2026-05-31,2026-06-05,Schneider,800-558-6767
"Dallas, TX","Amarillo, TX",278,797,2.87,184,28,32252,Flatbed,2026-05-20,2026-05-25,RXO,800-866-0190
"Spokane, WA","Salt Lake City, UT",770,1509,1.96,120,49,37077,Reefer,2026-05-31,2026-06-02,JB Hunt,800-452-4868
"Orlando, FL","Tulsa, OK",2485,5690,2.29,139,107,40148,Flatbed,2026-05-21,2026-05-24,Uber Freight,844-822-8237
"Memphis, TN","Indianapolis, IN",873,2758,3.16,152,43,35009,Dry Van,2026-05-24,2026-05-28,Landstar,800-872-9400
"Fresno, CA","Fort Lauderdale, FL",1634,3807,2.33,88,39,21946,Flatbed,2026-06-12,2026-06-17,XPO Logistics,800-755-2728
"Tulsa, OK","Dallas, TX",2355,8760,3.72,66,86,31956,Flatbed,2026-06-03,2026-06-05,Uber Freight,844-822-8237
"Chicago, IL","Spokane, WA",1059,3049,2.88,155,124,18320,Dry Van,2026-05-20,2026-05-22,JB Hunt,800-452-4868
"St Louis, MO","Dallas, TX",706,1553,2.2,7,121,26573,Reefer,2026-06-14,2026-06-19,Uber Freight,844-822-8237
"Las Vegas, NV","St Louis, MO",786,1359,1.73,212,19,25182,Dry Van,2026-05-23,2026-05-28,Schneider,800-558-6767
"Fort Lauderdale, FL","Dallas, TX",1876,5271,2.81,40,79,26364,Dry Van,2026-06-05,2026-06-09,RXO,800-866-0190
"Pittsburgh, PA","Orlando, FL",352,806,2.29,197,40,46856,Step Deck,2026-05-26,2026-05-28,JB Hunt,800-452-4868
"Denver, CO","Springfield, IL",777,1561,2.01,209,155,21514,Dry Van,2026-06-16,2026-06-19,Coyote Logistics,877-626-9683
"Fort Worth, TX","Pittsburgh, PA",2500,7625,3.05,94,15,45744,Reefer,2026-05-20,2026-05-23,Echo Global Logistics,800-354-7993
"Houston, TX","Buffalo, NY",1124,1910,1.7,216,22,23829,Step Deck,2026-05-26,2026-05-27,Schneider,800-558-6767
"Los Angeles, CA","Houston, TX",661,2439,3.69,31,133,14594,Reefer,2026-06-05,2026-06-08,Uber Freight,844-822-8237
"Greensboro, NC","Sacramento, CA",2103,5152,2.45,67,16,37483,Step Deck,2026-05-31,2026-06-01,Landstar,800-872-9400
"Boise, ID","Springfield, IL",1682,4087,2.43,187,132,45901,Dry Van,2026-06-02,2026-06-03,Echo Global Logistics,800-354-7993
"Jacksonville, FL","Boise, ID",935,2589,2.77,202,90,38920,Step Deck,2026-06-16,2026-06-19,Uber Freight,844-822-8237
"San Jose, CA","Arlington, TX",2303,8083,3.51,195,121,9945,Flatbed,2026-06-17,2026-06-19,C.H. Robinson,800-323-7587
"Tucson, AZ","Las Vegas, NV",1711,4876,2.85,164,81,8753,Dry Van,2026-06-18,2026-06-19,TQL,800-580-3101
"Birmingham, AL","Austin, TX",626,1145,1.83,20,164,13697,Dry Van,2026-05-29,2026-06-03,XPO Logistics,800-755-2728
"Tampa, FL","Fargo, ND",2504,4457,1.78,95,21,40528,Reefer,2026-05-19,2026-05-20,TQL,800-580-3101
"Philadelphia, PA","Charlotte, NC",1619,4905,3.03,172,18,13734,Flatbed,2026-06-02,2026-06-06,C.H. Robinson,800-323-7587
"Birmingham, AL","Cleveland, OH",1096,2860,2.61,203,128,34055,Dry Van,2026-06-19,2026-06-19,JB Hunt,800-452-4868
"Amarillo, TX","Springfield, IL",869,2398,2.76,169,162,23912,Step Deck,2026-06-02,2026-06-07,TQL,800-580-3101
"Columbus, OH","San Antonio, TX",328,852,2.6,73,131,40204,Flatbed,2026-06-14,2026-06-17,XPO Logistics,800-755-2728
"Amarillo, TX","Fort Lauderdale, FL",1025,1742,1.7,6,64,26203,Flatbed,2026-05-27,2026-05-28,JB Hunt,800-452-4868
"Birmingham, AL","Fargo, ND",1551,5583,3.6,53,88,32953,Step Deck,2026-06-03,2026-06-06,C.H. Robinson,800-323-7587
"Las Vegas, NV","Fort Wayne, IN",638,1403,2.2,29,118,24736,Flatbed,2026-05-29,2026-06-02,RXO,800-866-0190
"Raleigh, NC","Arlington, TX",1849,6342,3.43,147,21,22263,Flatbed,2026-05-19,2026-05-20,Coyote Logistics,877-626-9683
"Cleveland, OH","Grand Rapids, MI",2447,8148,3.33,219,81,30017,Step Deck,2026-06-10,2026-06-15,Coyote Logistics,877-626-9683
"Plano, TX","Houston, TX",1354,2653,1.96,195,110,38819,Step Deck,2026-06-15,2026-06-16,Uber Freight,844-822-8237
"Columbus, OH","Little Rock, AR",2273,6637,2.92,192,143,21895,Dry Van,2026-06-14,2026-06-17,Echo Global Logistics,800-354-7993
"Charlotte, NC","Amarillo, TX",744,1941,2.61,115,30,34424,Dry Van,2026-06-10,2026-06-13,Echo Global Logistics,800-354-7993
"St Louis, MO","Lubbock, TX",1231,4456,3.62,203,47,14405,Dry Van,2026-06-13,2026-06-14,Echo Global Logistics,800-354-7993
"Fresno, CA","Charlotte, NC",808,1704,2.11,47,132,35348,Reefer,2026-06-06,2026-06-11,Uber Freight,844-822-8237
"Sacramento, CA","Cleveland, OH",1771,3843,2.17,215,13,45837,Flatbed,2026-06-10,2026-06-14,Schneider,800-558-6767
"Pittsburgh, PA","Tucson, AZ",1927,3352,1.74,220,119,18150,Reefer,2026-05-25,2026-05-27,Landstar,800-872-9400
"Raleigh, NC","Sacramento, CA",495,1702,3.44,121,32,35010,Dry Van,2026-06-13,2026-06-15,TQL,800-580-3101
"Chicago, IL","Raleigh, NC",1930,5423,2.81,120,85,28644,Flatbed,2026-06-11,2026-06-13,Uber Freight,844-822-8237
"Charlotte, NC","Kansas City, MO",1465,2842,1.94,167,66,10536,Flatbed,2026-06-04,2026-06-09,XPO Logistics,800-755-2728
